rank, institute name, location, type, fees(approx)
1,National Law School of India University,"Bengaluru, Karnataka",NLU,?3.25 � ?3.75 Lakh/year
2,National Law University,New Delhi,NLU,?1.8 � ?2 Lakh/year
3,Nalsar University of Law,"Hyderabad, Telangana",NLU,?2.8 � ?3.2 Lakh/year
4,The West Bengal National University of Juridical Sciences(WBNUJS),"Kolkata ,West Bengal",NLU,?2.5 � ?3 Lakh/year
5,Symbiosis Law School,"Pune ,Maharashtra",Deemed,?3 � ?4 Lakh/year
6,Jamia Millia Islamia,New Delhi,Central University ,"?10,400 � ?15,600/year "
7,Indian Institute of Technology Kharagpur,"Kharagpur, West Bengal",Govt.,2.80 Lakh/year
8,Gujarat National Law University,"Gandhinagar, Gujarat",NLU,?2.6�3.2?L/year
9,Siksha `O` Anusandhan,"Bhubaneswar,Odisha",Deemed,7.50 Lakh/year   
10,Babasaheb Bhimrao Ambedkar University,"Lucknow,Uttar Pradesh",Central University ,2.50 Lakh/year   
11,Kalinga Institute of Industrial Technology,"Bhubaneswar,Odisha",Deemed,?3.5 � ?4.5 Lakh/year
12,Aligarh Muslim University,"Aligarh,Uttar Pradesh",Central University ,1.10 Lakh/year
13,Saveetha Institute of Medical and Technical Sciences,"Chennai,Tamil Nadu",Deemed ,12.50 Lakh/year
14,Shanmugha Arts Science Technology and Research Academy,"Thanjavur,Tamil Nadu",Deemed ,6.10 Lakh/year
15,Christ University,"Bengaluru,Karnataka",Deemed ,1.35 Lakh/year
16,Dr. B. R. Ambedkar College of Law,"Visakhapatnam,Andhra Pradesh",State Government ,3.25 Lakh/year
17,Guru Gobind Singh Indraprastha University,New Delhi, State University ,8.50 Lakh/year
18,Alliance University,"Bengaluru,Karnataka",Private,2.75 Lakh/year
19,Lovely Professional University,"Phagwara,Punjab",Private,?1.6 � ?2.4 Lakh/year
20,Dr. Ram Manohar Lohiya National Law University,"Lucknow,Uttar Pradesh",NLU,?1.03?L/year
