si.no, entrance exams, location, institute name, college name, type, year of inspection of college, fees(approx)
1,MBBS,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2018,125
2,MBBS,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,250
3,MBBS,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,150
4,MBBS,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,200
5,MBBS,Andhra Pradesh,"Government Medical College, Eluru",Dr. YSR University of Health Sciences,Govt.,2023,150
6,MBBS,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,175
7,MBBS,Andhra Pradesh,"Government Medical College, Machilipatnam",Dr. YSR University of Health Sciences,Govt.,2023,150
8,MBBS,Andhra Pradesh,"Government Medical College, Nandyal",Dr. YSR University of Health Sciences,Govt.,2023,150
9,MBBS,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,120
10,MBBS,Andhra Pradesh,"Government Medical College, Paderu",Dr. YSR University of Health Sciences,Govt.,2024,50
11,MBBS,Andhra Pradesh,"Government Medical College, Rajamahendravaram",Dr. YSR University of Health Sciences,Govt.,2023,150
12,MBBS,Andhra Pradesh,"Government Medical College, Vizianagaram",Dr. YSR University of Health Sciences,Govt.,2023,150
13,MBBS,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,175
14,MBBS,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Dr. YSR University of Health Sciences,Trust,2010,150
15,MBBS,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,250
16,MBBS,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,250
17,MBBS,Andhra Pradesh,"Katuri Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2002,150
18,MBBS,Andhra Pradesh,"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram",Dr. YSR University of Health Sciences,Trust,2005,200
19,MBBS,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,250
20,MBBS,Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Dr. YSR University of Health Sciences,Trust,2002,200
21,MBBS,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,250
22,MBBS,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,150
23,MBBS,Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Dr. YSR University of Health Sciences,Trust,2012,150
24,MBBS,Andhra Pradesh,"NRI Medical College, Guntur",Dr. YSR University of Health Sciences,Trust,2003,200
